name,dur,op_name,input_type_shape,output_type_shape
model_loading_uri,6772.0,,[],[]
session_initialization,74222.0,,[],[]
data_QuantizeLinear_kernel_time,55.0,QuantizeLinear,"[{""float"": [1, 3, 224, 224]}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 3, 224, 224]}]"
Transpose_kernel_time,57.0,Transpose,"[{""uint8"": [1, 3, 224, 224]}]","[{""uint8"": [1, 224, 224, 3]}]"
QLinearConv_kernel_time,926.0,QLinearConv,"[{""uint8"": [1, 224, 224, 3]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 112, 112, 64]}]"
NhwcMaxPool_kernel_time,75.0,NhwcMaxPool,"[{""uint8"": [1, 112, 112, 64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_688_kernel_time,365.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_679_kernel_time,93.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_682_kernel_time,450.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_685_kernel_time,382.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
resnetv17_stage1__plus0_quant_kernel_time,172.0,QLinearAdd,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_692_kernel_time,183.0,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_695_kernel_time,443.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_698_kernel_time,371.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
resnetv17_stage1__plus1_quant_kernel_time,155.0,QLinearAdd,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_702_kernel_time,183.0,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_705_kernel_time,443.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [64]}, {""int8"": [64]}, {""float"": []}, {""uint8"": []}, {""int32"": [64]}]","[{""uint8"": [1, 56, 56, 64]}]"
QLinearConv_token_708_kernel_time,370.0,QLinearConv,"[{""uint8"": [1, 56, 56, 64]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 56, 56, 256]}]"
resnetv17_stage1__plus2_quant_kernel_time,155.0,QLinearAdd,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 56, 56, 256]}]"
QLinearConv_token_721_kernel_time,336.0,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_712_kernel_time,102.0,QLinearConv,"[{""uint8"": [1, 56, 56, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_715_kernel_time,348.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_718_kernel_time,205.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus0_quant_kernel_time,84.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_725_kernel_time,155.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_728_kernel_time,344.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_731_kernel_time,205.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus1_quant_kernel_time,82.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_735_kernel_time,155.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_738_kernel_time,345.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_741_kernel_time,207.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus2_quant_kernel_time,82.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_745_kernel_time,155.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_748_kernel_time,345.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_751_kernel_time,205.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus3_quant_kernel_time,82.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_764_kernel_time,350.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_755_kernel_time,101.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_758_kernel_time,367.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_761_kernel_time,195.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus0_quant_kernel_time,49.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_768_kernel_time,169.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_771_kernel_time,365.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_774_kernel_time,196.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus1_quant_kernel_time,48.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_778_kernel_time,170.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_781_kernel_time,364.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_784_kernel_time,196.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus2_quant_kernel_time,48.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_788_kernel_time,170.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_791_kernel_time,368.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_794_kernel_time,198.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus3_quant_kernel_time,48.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_798_kernel_time,170.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_801_kernel_time,364.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_804_kernel_time,196.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus4_quant_kernel_time,48.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_808_kernel_time,168.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_811_kernel_time,366.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_814_kernel_time,197.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus5_quant_kernel_time,48.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_827_kernel_time,492.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_818_kernel_time,127.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_821_kernel_time,521.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_824_kernel_time,253.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus0_quant_kernel_time,47.0,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_831_kernel_time,233.0,QLinearConv,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_834_kernel_time,517.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_837_kernel_time,253.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus1_quant_kernel_time,47.0,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_841_kernel_time,236.0,QLinearConv,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_844_kernel_time,514.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_847_kernel_time,254.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus2_quant_kernel_time,47.0,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_pool1_fwd_quant_kernel_time,49.0,QLinearGlobalAveragePool,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1, 1, 2048]}]"
Transpose_token_866_kernel_time,7.0,Transpose,"[{""uint8"": [1, 1, 1, 2048]}]","[{""uint8"": [1, 2048, 1, 1]}]"
resnetv17_pool1_fwd_DequantizeLinear_kernel_time,8.0,DequantizeLinear,"[{""uint8"": [1, 2048, 1, 1]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 2048, 1, 1]}]"
flatten_473_kernel_time,6.0,Flatten,"[{""float"": [1, 2048, 1, 1]}]","[{""float"": [1, 2048]}]"
flatten_473_QuantizeLinear_kernel_time,9.0,QuantizeLinear,"[{""float"": [1, 2048]}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 2048]}]"
resnetv17_dense0_fwd_MatMul_quant_kernel_time,91.0,QLinearMatMul,"[{""uint8"": [1, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""int8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1000]}]"
resnetv17_dense0_fwd_Add_quant_kernel_time,11.0,QLinearAdd,"[{""uint8"": [1, 1000]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1000]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1000]}]"
resnetv17_dense0_fwd_DequantizeLinear_kernel_time,8.0,DequantizeLinear,"[{""uint8"": [1, 1000]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 1000]}]"
SequentialExecutor::Execute,17527.0,,[],[]
model_run,17584.0,,[],[]
